age,non_fully_vaccinated,fully_vaccinated_without_booster,fully_vaccinated_with_booster
0-12,0.0022,0.0,0.0
13-19,0.0,0.0,0.0
20-29,0.0088,0.0,0.0
30-39,0.020,0.0,0.00042
40-49,0.083,0.010,0.0024
50-59,0.53,0.069,0.0031
60-69,1.7,0.20,0.028
70-79,4.2,0.75,0.10
80+,11,2.9,0.50
