age,non_fully_vaccinated,fully_vaccinated_without_booster,fully_vaccinated_with_booster
0-12,0.013,0.0043,0.0
13-19,0.023,0.0023,0.0035
20-29,0.035,0.0038,0.0
30-39,0.11,0.0091,0.0021
40-49,0.32,0.041,0.010
50-59,1.7,0.21,0.030
60-69,4.2,0.56,0.086
70-79,6.9,1.6,0.27
80+,14,3.9,0.75
